Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls,Most_Wickets_in_Match,Runs_in_Best_Bowling_Match
2024.0,Abdul Samad,16.0,2.0,182.0,37.0,18.2,108.0,168.52,0.0,0.0,15.0,11.0,9.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023.0,Abdul Samad,9.0,4.0,169.0,37.0,42.25,128.0,132.03,0.0,0.0,10.0,11.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022.0,Abdul Samad,2.0,0.0,4.0,4.0,2.0,7.0,57.14,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0
2021.0,Abdul Samad,11.0,1.0,111.0,28.0,12.33,87.0,127.58,0.0,0.0,4.0,8.0,8.0,0.0,11.0,6.0,9.0,1.0,9.0,9.0,6.0,0.0,0.0,1.0,9.0
2020.0,Abdul Samad,12.0,3.0,111.0,33.0,22.2,65.0,170.76,0.0,0.0,8.0,6.0,5.0,0.0,12.0,42.0,96.0,1.0,96.0,13.71,42.0,0.0,0.0,1.0,41.0
2024.0,Abhinav Manohar,2.0,0.0,9.0,8.0,4.5,16.0,56.25,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023.0,Abhinav Manohar,9.0,0.0,114.0,42.0,19.0,83.0,137.35,0.0,0.0,6.0,7.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022.0,Abhinav Manohar,8.0,1.0,108.0,43.0,18.0,75.0,144.0,0.0,0.0,14.0,3.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,Abhishek Sharma,16.0,1.0,484.0,75.0,32.27,237.0,204.22,0.0,3.0,36.0,42.0,7.0,0.0,16.0,42.0,51.0,2.0,25.5,7.29,21.0,0.0,0.0,2.0,24.0
2023.0,Abhishek Sharma,11.0,0.0,226.0,67.0,20.55,157.0,143.95,0.0,2.0,28.0,6.0,4.0,0.0,11.0,72.0,124.0,2.0,62.0,10.33,36.0,0.0,0.0,1.0,26.0
2022.0,Abhishek Sharma,14.0,0.0,426.0,75.0,30.43,320.0,133.13,0.0,2.0,47.0,13.0,1.0,0.0,14.0,24.0,38.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,10.0
2021.0,Abhishek Sharma,8.0,1.0,98.0,33.0,16.33,75.0,130.66,0.0,0.0,7.0,4.0,2.0,0.0,8.0,60.0,64.0,4.0,16.0,6.4,15.0,0.0,0.0,2.0,4.0
2020.0,Abhishek Sharma,8.0,2.0,71.0,31.0,14.2,56.0,126.78,0.0,0.0,6.0,3.0,1.0,0.0,8.0,60.0,91.0,2.0,45.5,9.1,30.0,0.0,0.0,1.0,15.0
2019.0,Abhishek Sharma,3.0,1.0,9.0,5.0,4.5,9.0,100.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,12.0,21.0,1.0,21.0,10.5,12.0,0.0,0.0,1.0,10.0
2018.0,Abhishek Sharma,3.0,2.0,63.0,46.0,63.0,33.0,190.9,0.0,0.0,3.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,Abishek Porel,14.0,2.0,327.0,65.0,32.7,205.0,159.51,0.0,2.0,36.0,13.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023.0,Abishek Porel,4.0,0.0,33.0,20.0,8.25,31.0,106.45,0.0,0.0,1.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.0,Adam Zampa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,66.0,92.0,2.0,46.0,8.36,33.0,0.0,0.0,1.0,12.0
2017.0,Adam Zampa,6.0,0.0,5.0,5.0,5.0,7.0,71.42,0.0,0.0,1.0,0.0,0.0,0.0,6.0,119.0,163.0,7.0,23.28,8.21,17.0,0.0,0.0,2.0,22.0
2016.0,Adam Zampa,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,102.0,115.0,12.0,9.58,6.76,8.5,0.0,1.0,6.0,19.0
2024.0,Aiden Markram,11.0,2.0,220.0,50.0,24.44,177.0,124.29,0.0,1.0,18.0,4.0,5.0,0.0,11.0,12.0,15.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,5.0
2023.0,Aiden Markram,13.0,2.0,248.0,50.0,22.55,197.0,125.89,0.0,1.0,18.0,8.0,11.0,0.0,13.0,49.0,70.0,1.0,70.0,8.57,49.0,0.0,0.0,1.0,24.0
2022.0,Aiden Markram,14.0,4.0,381.0,68.0,47.63,274.0,139.05,0.0,3.0,25.0,19.0,6.0,0.0,14.0,36.0,64.0,1.0,64.0,10.67,36.0,0.0,0.0,1.0,8.0
2021.0,Aiden Markram,6.0,1.0,146.0,42.0,29.2,119.0,122.68,0.0,0.0,12.0,4.0,3.0,0.0,6.0,24.0,23.0,0.0,0.0,5.75,0.0,0.0,0.0,0.0,5.0
2024.0,Ajinkya Rahane,13.0,0.0,242.0,45.0,20.17,196.0,123.47,0.0,0.0,23.0,7.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023.0,Ajinkya Rahane,14.0,1.0,326.0,71.0,32.6,189.0,172.49,0.0,2.0,24.0,16.0,8.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022.0,Ajinkya Rahane,7.0,0.0,133.0,44.0,19.0,128.0,103.91,0.0,0.0,14.0,4.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021.0,Ajinkya Rahane,2.0,0.0,8.0,8.0,8.0,8.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.0,Ajinkya Rahane,9.0,0.0,113.0,60.0,14.12,107.0,105.6,0.0,1.0,12.0,2.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019.0,Ajinkya Rahane,14.0,1.0,393.0,105.0,32.75,285.0,137.89,1.0,1.0,45.0,9.0,5.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018.0,Ajinkya Rahane,15.0,1.0,370.0,65.0,28.46,313.0,118.21,0.0,1.0,39.0,5.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017.0,Ajinkya Rahane,16.0,1.0,382.0,60.0,25.46,323.0,118.26,0.0,2.0,35.0,9.0,7.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016.0,Ajinkya Rahane,14.0,3.0,480.0,74.0,43.63,379.0,126.64,0.0,6.0,54.0,9.0,7.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015.0,Ajinkya Rahane,14.0,2.0,540.0,91.0,49.09,413.0,130.75,0.0,4.0,53.0,13.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014.0,Ajinkya Rahane,13.0,0.0,339.0,72.0,28.25,291.0,116.49,0.0,3.0,38.0,3.0,6.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013.0,Ajinkya Rahane,18.0,4.0,488.0,68.0,34.85,458.0,106.55,0.0,4.0,42.0,11.0,10.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012.0,Ajinkya Rahane,16.0,2.0,560.0,103.0,40.0,433.0,129.33,1.0,3.0,73.0,10.0,11.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011.0,Ajinkya Rahane,10.0,1.0,120.0,52.0,20.0,98.0,122.44,0.0,1.0,12.0,2.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009.0,Ajinkya Rahane,8.0,1.0,144.0,62.0,24.0,123.0,117.07,0.0,2.0,12.0,3.0,1.0,0.0,8.0,6.0,5.0,1.0,5.0,5.0,6.0,0.0,0.0,1.0,5.0
